chunk_idx,layer_idx,token_pos,G_TTR,best_learner,G_FULL_MODEL_PURPLE,G_PURPLE_LAYER,projection_gain,delta_norm,delta_WO_norm
0,6,82,0.13996070623397827,window_soft,0.9864257574081421,0.986425518989563,0.021207094192504883,7.864624500274658,23.530160903930664
0,6,83,0.4007549285888672,sharp,1.0487254858016968,1.0487295389175415,0.01088094711303711,6.79722785949707,19.366926193237305
0,6,84,0.07037830352783203,linear_attention,-0.09733366966247559,-0.09731698036193848,0.024184703826904297,5.104492664337158,17.115406036376953
0,6,85,0.7854924201965332,weighted_linear,0.004313468933105469,0.004316806793212891,0.004204750061035156,2.9830050468444824,9.760797500610352
0,6,86,0.0007755756378173828,linear_attention,0.11126154661178589,0.11126184463500977,0.007331252098083496,3.3343582153320312,11.78948974609375
0,6,87,0.4745936393737793,sharp,-0.2904496192932129,-0.29046058654785156,-0.022998809814453125,2.825984239578247,9.37903118133545
0,6,88,-0.14794015884399414,linear_attention,-0.10447120666503906,-0.10447978973388672,-0.0013689994812011719,3.6559107303619385,13.345202445983887
0,6,89,0.01892678812146187,window_soft,0.0011250637471675873,0.001124601811170578,0.0006290189921855927,14.353363037109375,44.18280029296875
0,6,90,2.1423821449279785,local_linear_attention,0.30853939056396484,0.3085200786590576,0.006905078887939453,2.9321422576904297,9.740331649780273
0,6,91,0.8067418336868286,local_linear_attention,1.3661022186279297,1.3661059141159058,0.038770198822021484,7.75008487701416,22.51862907409668
0,6,92,0.1456899642944336,weighted_linear,0.35050129890441895,0.35050415992736816,-0.017232418060302734,19.859642028808594,65.70479583740234
0,6,93,0.7043991088867188,knn_mean,-0.5388674736022949,-0.5388774871826172,-0.0254669189453125,3.0861921310424805,10.428123474121094
0,6,94,0.6481595039367676,knn_mean,1.9081592559814453,1.9081602096557617,-0.04132652282714844,12.606741905212402,37.21708679199219
1,6,0,1.9073486328125e-06,local_linear_attention,0.2930564880371094,0.29305267333984375,0.000270843505859375,10.759800910949707,32.48633575439453
1,6,1,0.9750313758850098,linear_global,-0.6330208778381348,-0.6330204010009766,-0.029515981674194336,11.307863235473633,32.91862106323242
1,6,2,0.5235879421234131,linear_global,-0.05164003372192383,-0.05164766311645508,-0.06568288803100586,16.46158218383789,48.77788162231445
